,matrix,gene,exon,ensmuse,ncells,ntrans
0,C81732,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,32,45
1,C81733,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,29,35
2,C81733,Dot1l,Dot1l-203_2,ENSMUSE00000832211.1,1,1
3,C81734,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,18,25
4,K81312,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,37,55
5,K81313,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,39,52
6,K81313,Dot1l,Dot1l-205_5,ENSMUSE00000841803.1,1,1
7,K81314,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,25,34
8,K81321,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,29,31
9,C81723,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,21,24
10,K81322,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,38,59
11,K81322,Dot1l,Dot1l-203_2,ENSMUSE00000832211.1,1,1
12,K81323,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,30,35
13,K81324,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,21,26
14,K81431,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,37,41
15,K81432,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,38,43
16,K81433,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,42,50
17,K81434,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,26,36
18,C81724,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,24,33
19,C81741,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,38,49
20,C81742,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,30,35
21,C81743,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,28,33
22,K81331,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,31,41
23,K81332,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,21,22
24,K81333,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,15,19
25,K81333,Dot1l,Dot1l-203_2,ENSMUSE00000832211.1,1,1
26,K81334,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,28,33
27,K81334,Dot1l,Dot1l-203_2,ENSMUSE00000832211.1,1,1
28,K81421,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,18,26
29,K81422,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,21,25
30,K81423,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,28,31
31,K81424,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,34,43
32,C81744,Dot1l,Dot1l-201_27,ENSMUSE00000461103.2,1,2
33,C81744,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,31,50
34,C81744,Dot1l,Dot1l-204_3,ENSMUSE00000813317.1,1,1
35,C81711,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,23,27
36,C81712,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,29,39
37,C81712,Dot1l,Dot1l-203_2,ENSMUSE00000832211.1,1,1
38,C81712,Dot1l,Dot1l-201_4,ENSMUSE00001002449.1,1,1
39,C81713,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,23,28
40,C81713,Dot1l,Dot1l-203_2,ENSMUSE00000832211.1,1,1
41,C81721,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,26,33
42,C81714,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,21,29
43,K81342,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,28,35
44,K81343,Dot1l,Dot1l-201_27,ENSMUSE00000461103.2,1,1
45,K81343,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,33,42
46,K81411,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,28,34
47,K81411,Dot1l,Dot1l-204_3,ENSMUSE00000813317.1,1,1
48,K81412,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,30,40
49,K81413,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,33,45
50,K81414,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,11,16
51,K81441,Dot1l,Dot1l-201_27,ENSMUSE00000461103.2,2,2
52,K81441,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,35,50
53,K81442,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,25,32
54,K81442,Dot1l,Dot1l-204_3,ENSMUSE00000813317.1,1,1
55,C81722,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,23,32
56,K81443,Dot1l,Dot1l-201_27,ENSMUSE00000461103.2,1,1
57,K81443,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,30,42
58,K81443,Dot1l,Dot1l-203_2,ENSMUSE00000832211.1,1,1
59,K81444,Dot1l,Dot1l-201_27,ENSMUSE00000461103.2,1,1
60,K81444,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,34,45
61,C81731,Dot1l,Dot1l-201_28,ENSMUSE00000728917.1,30,38
